idemplacementsilo;identifiant;adresse;commune;codefuv;observation_localisante;numerocircuit;gestionnaire;collecteur;datedebutexploitation;datecreation;maj_alphanumerique;maj_geometrie;insee;gid;lon;lat
7833;7833;1 Rue de l'Epargne;Lyon 7e Arrondissement;33723;En sortant du parking, sur trottoir;X101.0.CS;Col Sud;COL VEOLIA;2023-10-19;2023-11-16;2023-11-16;;69387;5030;4,851033081027836;45,74571902629454
E306;E306;7 Rue Jorge Semprun;Vénissieux;36069;;V101.0.CS;Col Sud;COL VEOLIA;2017-03-20;2017-03-21;2023-05-23;2023-05-23;69259;749;4,870139507219432;45,69434882371501
E203;E203;6 Boulevard de Lattre de Tassigny;Rillieux-la-Pape;24883;;V101.0.CS;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;2013-02-22;69286;751;4,904381776725337;45,81239954134344
7832;7832;40 Rue Victorien Sardou;Lyon 7e Arrondissement;28703;;X101.0.CS;Col Sud;COL VEOLIA;2023-10-19;2023-11-16;2023-11-16;;69387;5031;4,85471580485043;45,7473005234204
6993;6993;7 Place Renoir;Rillieux-la-Pape;25150;;V101.0.CS;Col Nord-Ouest;COL VEOLIA;2018-01-22;2015-03-30;2018-04-24;;69286;759;4,887130190807404;45,81080694137961
7358;7358;50 Rue du Canal;Villeurbanne;;Proche du croisement avec la rue St Jean;Z101.0.CS;Col Est;GPE;2020-06-25;2020-07-08;2020-10-07;2020-10-07;69266;737;4,900105052669582;45,77617577120717
E717;E717;7 Rue François Mansart;Saint-Priest;;;V101.0.CS;Col Est;COL GUERIN;2019-09-30;2019-11-12;2019-11-12;;69290;773;4,947450288159003;45,689901104472675
9004;9004;131 Rue d'Anvers;Lyon 7e Arrondissement;28593;Face au 133 rue d'Anvers, sur place de parking;X101.0.CS;Col Sud;COL VEOLIA;2023-11-16;2023-11-17;2023-11-17;2023-11-17;69387;5032;4,839294949899915;45,74724422891746
E712;E712;14 Rue François Mansart;Saint-Priest;;;V101.0.CS;Col Est;COL GUERIN;2019-09-30;2019-11-08;2019-11-12;;69290;781;4,947217632217813;45,68898840361323
3022;3022;2 Avenue Salvador Allende;Décines-Charpieu;22801;;V101.0.CS;Col Est;COL GUERIN;2018-06-01;2018-07-09;2018-07-09;;69275;802;4,973034187113939;45,77206172056229
E210;E210;4 Rue Marcel Cerdan;Lyon 9e Arrondissement;32104;;W101.0.CS;Col Nord-Ouest;COL VEOLIA;2017-05-22;2009-10-29;2020-08-20;2020-08-20;69389;803;4,794952743285711;45,78831883235152
4032;4032;Face au56b Chemin de Pommier;Meyzieu;;;V101.0.CS;Col Est;GPE;2020-12-11;2021-01-05;2021-01-05;;69282;835;4,996702766023673;45,77592164828983
