idemplacementsilo;identifiant;adresse;commune;codefuv;observation_localisante;numerocircuit;gestionnaire;collecteur;datedebutexploitation;datecreation;maj_alphanumerique;maj_geometrie;insee;gid;lon;lat
4434;4434;20 Rue du Stade;Fontaines-sur-Saône;07214;;V101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;2012-03-07;2018-04-24;2013-02-14;69088;3881;4,854645368884161;45,83375098022413
1908;1908;Bretelle Tassin Voie Nord;Lyon 9e Arrondissement;30710;Sur Parking;W101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;;2019-05-07;2013-02-21;69389;3845;4,791592796602313;45,767164197426126
4732;4732;Face au 13 Route de Jonage;Décines-Charpieu;;;V101.0.VERRE;Col Est;GPE;2022-04-16;2022-05-02;2022-05-02;;69275;3913;4,978291619962887;45,77272433443312
6696;6696;28 Boulevard des Roses;Saint-Priest;;;V101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2017-02-02;2018-04-24;;69290;3888;4,939183704878448;45,68692407793205
7125;7125;219 Rue de Créqui;Lyon 3e Arrondissement;27802;;Y101.0.VERRE;Col Est;GPE;2017-05-22;2015-11-18;2018-04-24;;69383;3894;4,848148058050271;45,75810493810495
3286;3286;Rue Carnot angle Rue Prainet;Décines-Charpieu;;;V101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2015-11-17;2022-02-11;2022-02-11;69275;3900;4,970750929687;45,76334425189232
1419;1419;8 Rue Dangon;Lyon 4e Arrondissement;28064;;X101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;;2018-07-30;2018-07-30;69384;3912;4,819224880453754;45,779083493850464
7330;7330;2 Avenue Berliet;Vénissieux;30538;;V101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2017-03-03;2018-04-24;;69259;3915;4,888986440071877;45,71592022395823
3639;3639;10 Avenue Salvador Allende;Vaulx-en-Velin;19748;;Z101.0.VERRE;Col Est;COL GUERIN;2018-01-22;2017-02-22;2023-10-31;2023-10-31;69256;3953;4,92371736043371;45,78075178579311
4231;4231;106 Cours Tolstoï;Villeurbanne;;;Z101.0.VERRE;Col Est;COL GUERIN;2019-05-13;2019-05-21;2019-05-21;;69266;3958;4,879647986887349;45,76219227298975
4218;4218;Chemin des Particelles;Chassieu;;À l'intérieur de la cour du centre de formation de la police nationale (CRS;V101.0.VERRE;Col Est;COL GUERIN;2019-02-21;2019-03-06;2021-02-04;2021-02-04;69271;3925;4,949747494435872;45,739270033816865
4164;4164;6 Avenue Général De Gaulle;Caluire-et-Cuire;;;V101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;;2018-08-09;2018-08-09;69034;3930;4,851720295720649;45,80337075019689
3442;3442;Rt d Azieu angle Chemin de Bardieu;Meyzieu;;;V101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2016-02-22;2018-04-24;;69282;3933;5,014068538205859;45,75722293719371
3444;3444;Rue Léon Blum;Villeurbanne;21586;;Z101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2016-04-13;2018-04-24;;69266;3940;4,908400841776111;45,76103777656926
4593;4593;9 Avenue Marie-Thérèse Prost;Neuville-sur-Saône;30306;;V101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;;2018-04-24;2013-02-22;69143;3943;4,84127269487984;45,878555834381494
4403;4403;8 Quai de la Jonchère;Collonges-au-Mont-d'Or;05067;;V101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;;2018-04-24;2013-02-12;69063;3949;4,841852624211426;45,810297389785056
E644;E644;38 Avenue Rosa Parks;Lyon 9e Arrondissement;35641;;W101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;2017-02-07;2020-08-20;2020-08-20;69389;3950;4,790032722081828;45,78679933100717
4382;4382;6 Place Alexandre Dumas;Rillieux-la-Pape;25147;;V101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;2011-04-19;2018-04-24;2013-02-25;69286;3964;4,893388435018245;45,81387044006235
2317;2317;2 Rue Claude Boyer;Lyon 7e Arrondissement;28585;;X101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2008-07-11;2022-04-05;2022-04-05;69387;3966;4,848660398055721;45,75065811014419
3281;3281;341 Avenue Jean Jaurès;Décines-Charpieu;;;V101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2010-08-12;2022-03-14;2022-03-14;69275;3983;4,971672530067628;45,77236599641795
1532;1532;16 Quai Fulchiron;Lyon 5e Arrondissement;28233;;W101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;;2018-09-18;2018-09-18;69385;3969;4,825413514890518;45,757117817811285
7143;7143;Rue du Château d'Eau/Merieux;Saint-Genis-les-Ollières;;;V101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2016-01-08;2018-04-24;;69205;3970;4,71572955464732;45,75895453431252
4216;4216;137 Rue de la République;Vaulx-en-Velin;; ;Z101.0.VERRE;Col Est;COL GUERIN;2018-10-22;2019-02-13;2019-03-26;;69256;3995;4,932921396487567;45,78447974197943
3632;3632;Rue Lounès Matoub a cote gymnaze;Vaulx-en-Velin;;;Z101.0.VERRE;Col Est;COL GUERIN;2018-01-22;2016-02-05;2018-04-24;;69256;3973;4,920736415345389;45,78221823916624
6532;6532;Place Salvador Allende;Saint-Fons;;;V101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2008-12-01;2018-04-24;2011-09-13;69199;3977;4,860428682829336;45,71225573515
2331;2331;60 Rue Domer;Lyon 7e Arrondissement;28620;;X101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;;2022-04-05;2022-04-05;69387;3991;4,853232265889521;45,748050939882994
7026;7026;9 Quai Tilsitt;Lyon 2e Arrondissement;27541;;X101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;2015-08-26;2018-08-29;2018-08-29;69382;3998;4,8281993298738755;45,75807601235111
2699;2699;195 Route de Vienne;Lyon 8e Arrondissement;28780;;Y101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2015-06-29;2022-04-19;2022-04-19;69388;4000;4,853594203277133;45,732248121051676
E764;E764;35 Rue du 8 Mai 1945;Villeurbanne;;;Z101.0.VERRE;Col Est;GPE;2022-04-04;2022-04-08;2022-04-08;;69266;4009;4,891759792755858;45,7798361205983
2784;2784;Face au 20 Quai Victor Augagneur;Lyon 3e Arrondissement;;;Y101.0.VERRE;Col Est;GPE;2017-05-22;;2019-08-09;2019-08-09;69383;4039;4,84062036380422;45,758428094237146
E744;E744;106-122 Avenue  Pierre Brossolette;Bron;;;Y101.0.VERRE;Col Est;GPE;2019-12-29;2020-05-25;2020-10-06;;69029;4044;4,920036056587692;45,73996231207791
E433;E433;38 Rue Juliette Récamier;Saint-Priest;;;V101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2015-02-16;2018-04-24;2015-02-16;69290;4028;4,933662829221091;45,69461664888577
4074;4074;Rue Aime Cesaire angle Rue Ch Peguy;Mions;;;V101.0.VERRE;Col Est;COL GUERIN;2017-10-10;2017-10-31;2018-04-24;2017-10-31;69283;4013;4,941521548108108;45,68185598813074
2339;2339;11 Rue du Vercors;Lyon 7e Arrondissement;28629;;X101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2005-11-15;2022-04-13;2022-04-13;69387;4032;4,827269595271041;45,7287883157777
2249;2249;95 Rue de Marseille;Lyon 7e Arrondissement;28607;;X101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2008-06-13;2022-04-13;2022-04-13;69387;4035;4,836663949699506;45,74656293283743
4049;4049;Rue Francis de Pressensé angle Viret;Villeurbanne;;;Z101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2015-08-24;2018-04-24;;69266;4036;4,875409295088213;45,77203558099093
2270;2270;Rue Lortet/Boulevard Yves Farge;Lyon 7e Arrondissement;;;X101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2005-11-15;2018-04-24;;69387;4040;4,834311577970716;45,74325870485843
3289;3289;Rue Curie angle Av Léon Tolstoï;Décines-Charpieu;;;V101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2015-11-17;2022-02-11;2022-02-11;69275;4043;4,959308297016162;45,7720964138467
3691;3691;Face au 10 Rue Albert Camus;Décines-Charpieu;;;V101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2015-04-02;2018-04-24;;69275;4077;4,947302314568308;45,75969589474779
