idemplacementsilo;identifiant;adresse;commune;codefuv;observation_localisante;numerocircuit;gestionnaire;collecteur;datedebutexploitation;datecreation;maj_alphanumerique;maj_geometrie;insee;gid;lon;lat
B0662;B0662;23 Boulevard des Etats-Unis;Lyon 8e Arrondissement;;L8EU005;Z101.0.ALIM;Col Sud;GPE;2023-05-15;2023-07-24;;;69388;4515;4,861470000034577;45,73751999991411
B0186;B0186;80 Rue Jaboulay;Lyon 7e Arrondissement;;DA156;X101.0.ALIM;Col Sud;COL SITA;2021-10-01;2022-07-13;;;69387;4518;4,845190000476372;45,74572000011352
B0732;B0732;1 Rue Professeur Marcel Dargent;Lyon 8e Arrondissement;;L8PS020;Z101.0.ALIM;Col Sud;GPE;2023-05-22;2023-07-24;;;69388;4520;4,886279999888858;45,72288000043479
B0280;B0280;28 Avenue des Sources;Écully;;ECU36;1101.0.ALIM;Col Nord-Ouest;COL NO;2022-11-23;2023-01-12;2023-01-31;;69081;4525;4,78394837081538;45,7905504797357
B0392;B0392;245 Rue du 4 Août 1789;Villeurbanne;;C17;Z101.0.ALIM;Col Est;GPE;2022-09-01;2022-12-20;;;69266;4529;4,899012528219808;45,76601097182733
B0585;B0585;38 Rue Clément Michu;Villeurbanne;;GCDC58;Z101.0.ALIM;Col Est;GPE;2023-03-28;2023-05-10;2023-05-10;;69266;4536;4,881362805882142;45,76602022643534
B0768;B0768;32 Rue Professeur Ranvier;Lyon 8e Arrondissement;;L8MZ026;Z101.0.ALIM;Col Sud;GPE;2023-05-10;2023-07-24;;;69388;4537;4,886729999447129;45,73406999988896
B0752;B0752;118 Avenue Général Frère;Lyon 8e Arrondissement;;L8MZ006;Z101.0.ALIM;Col Sud;GPE;2023-05-09;2023-07-24;;;69388;4539;4,879090000358134;45,72961000025035
B0663;B0663;296 Avenue Berthelot;Lyon 8e Arrondissement;;L8EU006;Z101.0.ALIM;Col Sud;GPE;2023-05-15;2023-07-24;;;69388;4546;4,863829999568435;45,738130000198645
B0481;B0481;11 Rue Lafontaine;Villeurbanne;;FMN04;Z101.0.ALIM;Col Est;GPE;2022-09-01;2022-12-20;;;69266;4550;4,876164456145868;45,76137503433169
B0504;B0504;1bis Rue Frédéric Mistral;Villeurbanne;;FMN19D;Z101.0.ALIM;Col Est;GPE;2022-09-01;2022-12-20;;;69266;4561;4,876608272821789;45,75800872394393
B0796;B0796;18 Rue Villon;Lyon 8e Arrondissement;;L8MP018;Z101.0.ALIM;Col Sud;GPE;2023-06-05;2023-07-24;;;69388;4567;4,866659999828923;45,74593999964639
B0887;B0887;22 Boulevard des Canuts;Lyon 4e Arrondissement;;CRC-05;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-04-07;2023-07-24;;;69384;4579;4,8293980484819;45,77661761998354
B0811;B0811;71 Rue Saint Gervais;Lyon 8e Arrondissement;;L8MP033;Z101.0.ALIM;Col Sud;GPE;2023-05-30;2023-07-24;;;69388;4580;4,8609499994945065;45,74004000017578
